"","date","StationNo","HomeTeam","AwayTeam","Season","Round","Description","Rainfall","RainfallBand"
"2652","8/06/2007",86038,"Essendon","West Coast",2007,"11","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"2706","9/06/2007",86038,"Hawthorn","Sydney",2007,"11","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"2705","9/06/2007",86038,"Carlton","Port Adelaide",2007,"11","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"990","9/06/2007",40913,"Brisbane Lions","Western Bulldogs",2007,"11","  40913 BRISBANE                                 -27.4808  153.0389 Dec 1999 Apr 2017   17.4   99   Y",NA,"No Rainfall Data Available"
"386","10/06/2007",23034,"Adelaide","Geelong",2007,"11","  23034 ADELAIDE AIRPORT                         -34.9524  138.5196 Mar 1955 Apr 2017   62.2  100   Y",NA,"No Rainfall Data Available"
"1333","10/06/2007",86038,"St Kilda","North Melbourne",2007,"11","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"17","10/06/2007",9225,"Fremantle","Richmond",2007,"11","   9225 PERTH METRO                              -31.9192  115.8728 Feb 1993 Apr 2017   24.2   99   Y",NA,"No Rainfall Data Available"
"1382","11/06/2007",86038,"Melbourne","Collingwood",2007,"11","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"1569","15/06/2007",86038,"Carlton","Hawthorn",2007,"12","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"746","16/06/2007",40764,"North Melbourne","Adelaide",2007,"12","  40764 GOLD COAST SEAWAY                        -27.9390  153.4283 Jul 1994 Apr 2017   22.8   94   Y",NA,"No Rainfall Data Available"
"357","16/06/2007",14015,"Western Bulldogs","Fremantle",2007,"12","  14015 DARWIN AIRPORT                           -12.4239  130.8925 Jan 1941 Apr 2017   76.3  100   Y",NA,"No Rainfall Data Available"
"2765","17/06/2007",87184,"Geelong","Brisbane Lions",2007,"12","  87184 BREAKWATER (GEELONG RACECOURSE)          -38.1737  144.3765 Jun 2011 Apr 2017    5.9   97   Y",NA,"No Rainfall Data Available"
"448","17/06/2007",23034,"Port Adelaide","Essendon",2007,"12","  23034 ADELAIDE AIRPORT                         -34.9524  138.5196 Mar 1955 Apr 2017   62.2  100   Y",NA,"No Rainfall Data Available"
"1923","22/06/2007",86038,"Richmond","Melbourne",2007,"12","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"1171","23/06/2007",66212,"Sydney","Collingwood",2007,"12","  66212 SYDNEY OLYMPIC PARK AWS (ARCHERY CENTRE) -33.8338  151.0718 Sep 2011 Apr 2017    5.7   99   Y",NA,"No Rainfall Data Available"
"187","24/06/2007",9225,"West Coast","St Kilda",2007,"12","   9225 PERTH METRO                              -31.9192  115.8728 Feb 1993 Apr 2017   24.2   99   Y",NA,"No Rainfall Data Available"
