,Playing.for,First.name,Surname,ID,Name
3877,Essendon,Phillip,Early,1695,Phillip Early
3878,Essendon,Terry,Daniher,1311,Terry Daniher
3879,Essendon,Allan,Davis,1655,Allan Davis
3880,Essendon,Bernie,Jones,1854,Bernie Jones
3881,Essendon,Roger,Merrett,107,Roger Merrett
3882,Essendon,Michael,Sheldon,10969,Michael Sheldon
3883,Essendon,Peter,Bennett,1523,Peter Bennett
3884,Essendon,Neil,Besanko,1526,Neil Besanko
3885,Essendon,Michael,Redenbach,10968,Michael Redenbach
3886,Essendon,Glenn,Hawker,1355,Glenn Hawker
3887,Essendon,Neale,Daniher,1646,Neale Daniher
3888,Essendon,Barry,Day,11010,Barry Day
3889,Essendon,Peter,Keenan,1863,Peter Keenan
3890,Essendon,Alan,Reid,2102,Alan Reid
3891,Essendon,Craig,Barbary,11009,Craig Barbary
3892,Essendon,Darren,Williams,1372,Darren Williams
3893,Essendon,Frank,Dunell,1690,Frank Dunell
3894,Essendon,Kelvin,Steel,10817,Kelvin Steel
3895,Essendon,Robert,Hyde,2369,Robert Hyde
3896,Essendon,Phil,Carman,1584,Phil Carman
3897,Essendon,Alan,Stoneham,2196,Alan Stoneham
3898,Essendon,Jim,McAllester,11050,Jim McAllester
3899,Essendon,Wayne,Foreman,1732,Wayne Foreman
3900,Essendon,Grant,Fowler,2352,Grant Fowler
3901,Essendon,David,Burke,11046,David Burke
3902,Essendon,Peter,Light,11049,Peter Light
3903,Essendon,Barry,Besanko,11045,Barry Besanko
3904,Essendon,Justin,Madden,150,Justin Madden
3905,Essendon,Stephen,Carey,1586,Stephen Carey
3906,Essendon,Michael,Davis,11047,Michael Davis
3907,Essendon,Greg,Flanegan,11048,Greg Flanegan
3908,Essendon,Mark,Eustice,1340,Mark Eustice
3909,Essendon,Bill,Valli,2240,Bill Valli
3910,Essendon,Tony,Buhagiar,1567,Tony Buhagiar
3911,Essendon,Michael,Thomson,2221,Michael Thomson
3912,Essendon,Kevin,Walsh,1392,Kevin Walsh
3913,Essendon,Ian,Morrison,2391,Ian Morrison
3914,Essendon,Stephen,Copping,1624,Stephen Copping
3915,Essendon,Bill,Duckworth,1405,Bill Duckworth
3916,Essendon,Wayne,Otway,2052,Wayne Otway
3917,Essendon,Tony,West,11144,Tony West
3918,Essendon,Roy,Ramsay,2094,Roy Ramsay
3919,Essendon,Chris,Waterson,11143,Chris Waterson
3920,Essendon,Brian,Brown,1558,Brian Brown
3921,Essendon,Anton,Grbac,11142,Anton Grbac
3922,Essendon,Wayne,Beddison,11193,Wayne Beddison
3923,Essendon,Cameron,Clayton,2334,Cameron Clayton
3924,Essendon,Paul,Salmon,314,Paul Salmon
3925,Essendon,Mark,Thompson,326,Mark Thompson
3926,Essendon,Paul,Weston,2264,Paul Weston
3927,Essendon,Peter,Bradbury,1547,Peter Bradbury
3928,Essendon,Rene,Kink,1879,Rene Kink
3929,Essendon,Alan,Ezard,1301,Alan Ezard
3930,Essendon,Bryan,Wood,2290,Bryan Wood
3931,Essendon,Stephen,Richardson,11194,Stephen Richardson
3932,Essendon,Leon,Baker,1503,Leon Baker
3933,Essendon,Doug,Cox,1632,Doug Cox
3934,Essendon,Tony,Elshaug,1707,Tony Elshaug
3935,Essendon,Mark,Harvey,321,Mark Harvey
3936,Essendon,Peter,Banfield,11225,Peter Banfield
3937,Essendon,Mark,Hannebery,11024,Mark Hannebery
3938,Essendon,Brian,Winton,2287,Brian Winton
3939,Essendon,Merv,Harbinson,11226,Merv Harbinson
3940,Essendon,Steven,Clark,1352,Steven Clark
3941,Essendon,Stephen,Pirrie,11137,Stephen Pirrie
3942,Essendon,Trevor,Spencer,11272,Trevor Spencer
3943,Essendon,Brenton,Phillips,1379,Brenton Phillips
3944,Essendon,Geoff,Raines,2092,Geoff Raines
3945,Essendon,David,Flood,330,David Flood
3946,Essendon,Paul,Hamilton,1344,Paul Hamilton
3947,Essendon,Michael,Richardson,1354,Michael Richardson
3948,Essendon,Dean,Bailey,1404,Dean Bailey
3949,Essendon,Ed,Considine,987,Ed Considine
3950,Essendon,Nick,Walsh,11311,Nick Walsh
3951,Essendon,Anthony,Daniher,1238,Anthony Daniher
3952,Essendon,Peter,Francis,1739,Peter Francis
3953,Essendon,Tony,Antrobus,1376,Tony Antrobus
3954,Essendon,Gavin,Keane,1904,Gavin Keane
3955,Essendon,John,Barnes,360,John Barnes
3956,Essendon,David,Johnston,1173,David Johnston
3957,Essendon,Dean,Wallis,333,Dean Wallis
3958,Essendon,Daryl,Cunningham,11178,Daryl Cunningham
3959,Essendon,David,Sullivan,11323,David Sullivan
3960,Essendon,Geoffrey,Parker,11354,Geoffrey Parker
3961,Essendon,Chris,Daniher,306,Chris Daniher
3962,Essendon,Brendan,Moore,11353,Brendan Moore
3963,Essendon,Gary,ODonnell,318,Gary ODonnell
3964,Essendon,Greg,Anderson,24,Greg Anderson
3965,Essendon,Darren,Bewick,311,Darren Bewick
3966,Essendon,Andrew,Merryweather,11156,Andrew Merryweather
3967,Essendon,Andrew,Rogers,1325,Andrew Rogers
3968,Essendon,Paul,OBrien,2042,Paul OBrien
3969,Essendon,Justin,Stubbs,11409,Justin Stubbs
3970,Essendon,Peter,Somerville,317,Peter Somerville
3971,Essendon,Michael,OSullivan,2044,Michael OSullivan
3972,Essendon,Peter,Bourke,11408,Peter Bourke
3973,Essendon,Bradley,Plain,784,Bradley Plain
3974,Essendon,David,Grenvold,305,David Grenvold
3975,Essendon,Michael,Long,313,Michael Long
3976,Essendon,Kieran,Sporn,1170,Kieran Sporn
3977,Essendon,Andrew,Underwood,1320,Andrew Underwood
3978,Essendon,Michael,Werner,1183,Michael Werner
3979,Essendon,Andrew,Manning,1345,Andrew Manning
3980,Essendon,Craig,OBrien,928,Craig OBrien
3981,Essendon,Peter,Cransberg,323,Peter Cransberg
3982,Essendon,Derek,Kickett,989,Derek Kickett
3983,Essendon,Adrian,Burns,1225,Adrian Burns
3984,Essendon,Ian,McMullin,4005,Ian McMullin
3985,Essendon,Brad,Fox,1520,Brad Fox
3986,Essendon,Todd,Ridley,490,Todd Ridley
3987,Essendon,Gavin,Wanganeen,303,Gavin Wanganeen
3988,Essendon,Peter,Filandia,1004,Peter Filandia
3989,Essendon,Paul,Hills,332,Paul Hills
3990,Essendon,Paul,Morrish,4007,Paul Morrish
3991,Essendon,David,Robertson,1381,David Robertson
3992,Essendon,Brendan,Bower,4019,Brendan Bower
3993,Essendon,Sean,Denham,319,Sean Denham
3994,Essendon,Willie,Dick,11528,Willie Dick
3995,Essendon,James,Hird,312,James Hird
3996,Essendon,Michael,Symons,309,Michael Symons
3997,Essendon,Glenn,Kilpatrick,588,Glenn Kilpatrick
3998,Essendon,Steven,Alessio,307,Steven Alessio
3999,Essendon,Mark,Mercuri,310,Mark Mercuri
4000,Essendon,David,Calthorpe,329,David Calthorpe
4001,Essendon,Glenn,Manton,161,Glenn Manton
